File,Program,Description,Runtime1,Runtime2,Runtime3
file_1000_lines.txt,1,linear-search by city name (baseline),0.00,0.00,0.00
file_1000_lines.txt,2,hashmap with linear probing,0.00,0.00,0.00
file_1000_lines.txt,3,custom temperature float parser instead of strod,0.00,0.00,0.00
file_1000_lines.txt,4,fread with 64MB chunks instead of line-by-line,0.00,0.00,0.00
file_1000_lines.txt,5,unroll parsing of city name and generating hash,0.00,0.00,0.00
file_1000_lines.txt,6,parallelize across 16 threads,0.02,0.00,0.00
file_1000_lines.txt,7,mmap entire file instead of fread in chunks,0.01,0.01,0.01
file_10000_lines.txt,1,linear-search by city name (baseline),0.02,0.03,0.01
file_10000_lines.txt,2,hashmap with linear probing,0.00,0.00,0.00
file_10000_lines.txt,3,custom temperature float parser instead of strod,0.00,0.00,0.00
file_10000_lines.txt,4,fread with 64MB chunks instead of line-by-line,0.00,0.00,0.00
file_10000_lines.txt,5,unroll parsing of city name and generating hash,0.00,0.00,0.00
file_10000_lines.txt,6,parallelize across 16 threads,0.01,0.01,0.00
file_10000_lines.txt,7,mmap entire file instead of fread in chunks,0.00,0.01,0.00
file_100000_lines.txt,1,linear-search by city name (baseline),0.11,0.08,0.10
file_100000_lines.txt,2,hashmap with linear probing,0.01,0.03,0.03
file_100000_lines.txt,3,custom temperature float parser instead of strod,0.02,0.02,0.02
file_100000_lines.txt,4,fread with 64MB chunks instead of line-by-line,0.01,0.01,0.01
file_100000_lines.txt,5,unroll parsing of city name and generating hash,0.00,0.00,0.01
file_100000_lines.txt,6,parallelize across 16 threads,0.01,0.01,0.01
file_100000_lines.txt,7,mmap entire file instead of fread in chunks,0.00,0.01,0.00
file_1000000_lines.txt,1,linear-search by city name (baseline),0.69,0.62,0.64
file_1000000_lines.txt,2,hashmap with linear probing,0.14,0.14,0.16
file_1000000_lines.txt,3,custom temperature float parser instead of strod,0.05,0.05,0.07
file_1000000_lines.txt,4,fread with 64MB chunks instead of line-by-line,0.08,0.06,0.05
file_1000000_lines.txt,5,unroll parsing of city name and generating hash,0.06,0.07,0.02
file_1000000_lines.txt,6,parallelize across 16 threads,0.05,0.06,0.07
file_1000000_lines.txt,7,mmap entire file instead of fread in chunks,0.02,0.02,0.02
file_10000000_lines.txt,1,linear-search by city name (baseline),6.28,6.62,6.35
file_10000000_lines.txt,2,hashmap with linear probing,1.24,1.20,1.16
file_10000000_lines.txt,3,custom temperature float parser instead of strod,0.52,0.52,0.53
file_10000000_lines.txt,4,fread with 64MB chunks instead of line-by-line,0.94,0.35,0.29
file_10000000_lines.txt,5,unroll parsing of city name and generating hash,0.26,0.27,0.26
file_10000000_lines.txt,6,parallelize across 16 threads,0.79,0.26,0.24
file_10000000_lines.txt,7,mmap entire file instead of fread in chunks,0.07,0.07,0.07
file_100000000_lines.txt,1,linear-search by city name (baseline),64.53,60.52,59.82
file_100000000_lines.txt,2,hashmap with linear probing,11.63,11.77,12.09
file_100000000_lines.txt,3,custom temperature float parser instead of strod,5.15,5.06,4.73
file_100000000_lines.txt,4,fread with 64MB chunks instead of line-by-line,3.11,2.78,2.70
file_100000000_lines.txt,5,unroll parsing of city name and generating hash,2.31,2.20,2.22
file_100000000_lines.txt,6,parallelize across 16 threads,6.96,1.51,0.80
file_100000000_lines.txt,7,mmap entire file instead of fread in chunks,0.35,0.30,0.33
file_1000000000_lines.txt,1,linear-search by city name (baseline),640.51,614.07,671.19
file_1000000000_lines.txt,2,hashmap with linear probing,128.34,125.99,125.10
file_1000000000_lines.txt,3,custom temperature float parser instead of strod,65.15,65.66,66.22
file_1000000000_lines.txt,4,fread with 64MB chunks instead of line-by-line,52.49,50.79,49.44
file_1000000000_lines.txt,5,unroll parsing of city name and generating hash,45.32,45.44,47.25
file_1000000000_lines.txt,6,parallelize across 16 threads,26.03,25.96,25.89
file_1000000000_lines.txt,7,mmap entire file instead of fread in chunks,15.74,23.04,23.24
